osm_id,name,type
83375223,,parking
83375229,,
83375234,,
83375241,,
83375245,,
83375253,,
83632589,,
83632593,,
83632595,,parking
83632599,,
83632601,,
83632605,,
83632607,,
83632609,,
83632612,,parking
83697431,,
83697434,,
83697437,,
83697438,,
83697441,,
83697443,,
83697444,,
83697445,,
83697446,,parking
83697448,,
83697449,,"fuel;compressed_"
83697452,,
83697453,,
83697454,,
83697455,,
83697456,,
83697457,,
83697458,,
83697459,,
83697460,,
83697461,,
83697462,,
83697463,,
83697465,,
83697466,,
83697467,,
83697469,,
83697470,,
83697471,,
83697472,,
83697473,,
83697474,,
83697475,,
83697476,,
83697477,,
83697478,,
83697479,,parking
83697481,,parking
83697482,,
83697483,,
83697484,,
83697485,,
83697486,,
83697487,,
83697488,,
83697489,,
83697490,,
83697491,,
83697492,,
83697494,,
83697495,,
83697496,,
83697497,,
83697498,,
83697499,,
83697500,,
83697501,,
83697502,,
83697503,,
83888985,Campus Club House,restaurant
83889023,Nanyang Executive Center,
83889088,PUB Service Reservoir,reservoir_covere
83889089,PUB Service Reservoir,reservoir_covere
83889090,PUB Service Reservoir,reservoir_covere
83889191,,
83889441,,university
83889958,MW2,university
83889959,,university
83890075,LT2A,university
84516747,,
84517830,,
84517831,Temasek Life Sciences Laboratory,
84999349,Cargo Agents Blk A,
84999350,Cargo Agents Blk B,
84999351,Cargo Agents Blk C,
84999352,CIAS Cargo Centre,
84999354,SATS,
84999377,,
85001253,Cargo Agents Blk E,
85001262,SIAEC Hangar 1 & Airline House,hangar
85001263,SIAEC Hangar 2,hangar
85001264,Cargo Agents Blk D,
85006370,SATS Inflight Catering Center,
85006386,PA Water-Venture Changi,
85006421,,school
85010131,Navy Museum,
85479406,,
85479407,,
85479408,,
85479409,,parking
85479410,,
85479411,,
85479412,,
85479413,,
85479414,,
85479415,,
85479416,,
85479417,,
85479418,,
85548328,,
85548330,,
85548331,,
85548332,,
85548333,,
85548334,,
85548335,,
85548336,,
85548337,,
85548338,,
85548339,,
85548340,,
85548341,,
85548343,,
85548344,,
85548345,,
85548346,,
85548347,,
85548348,,
85548349,,parking
85548351,,
85548352,,
85548353,,
85548354,,
85548355,,
85548356,,
85548357,,
85548358,,
85548359,,
85548597,,
85548598,,
85548599,,
85548600,,
85548786,,
85548787,,
85548788,,
85548789,,
85548790,,
85548791,,
85550478,,
85550480,,
85550481,,
85550482,,
85550483,,
85550484,,
85550485,,
85550490,,
85550494,,
85550505,,
85550511,,
85550514,,parking
85550519,,
85550528,,
85550534,,
85550535,,
85550537,,
85551231,,
85551232,,
85551233,,
85551234,,
85551235,,
85551236,,parking
85552307,,"fuel;compressed_"
85552356,,
85558554,,
85558555,,
85558557,,
85558560,,
85560043,,
85560044,,
85560046,,
85560047,,
85560048,,
85560049,,
85560050,,
85560051,,
85560053,,
85560054,,
85560055,,
85560056,,
85560057,,
85560058,,
85560060,,
85560061,,
85560062,,
85560063,,
85560065,,
85560066,,
85560067,,
85560068,,
85560069,,
85560071,,
85581446,,
85581447,,
85581448,,
85581449,,
85581450,,
85581452,,
85581454,,
85581455,,
85581456,Blk 507 MSCP,parking
85581458,Tampines Regional Library,library
85581467,,
85581468,,
85584505,,
85584506,,
85584507,,
85584508,,
85584509,,
85584510,,
85584511,,
85584512,,
85584513,,
85584516,,
85584518,,
85584520,,"fuel;compressed_"
91111601,DHL Distribution Centre,
91111604,Schenker Logistics,
91111606,,
91111609,,
91111611,CEVA  Logistics,
91111613,,
91111617,Yusen Logistics (Singapore) Pte Ltd,
91111620,,
91111622,,
91111623,Vantec World Transport,
